Social Support,Happiness Score,Happiness Rank,Year,Country,Life Expectancy,Generosity,Economy GPD,Government Corruption,Freedom,Region
1.34951,7.587,1,2015,Switzerland,0.94143,0.29678,1.39651,0.41978,0.66557,Western Europe
1.40223,7.561,2,2015,Iceland,0.94784,0.4363,1.30232,0.14145,0.62877,Western Europe
1.36058,7.527,3,2015,Denmark,0.87464,0.34139,1.32548,0.48357,0.64938,Western Europe
1.33095,7.522,4,2015,Norway,0.88521,0.34699,1.459,0.36503,0.66973,Western Europe
1.32261,7.427,5,2015,Canada,0.90563,0.45811,1.32629,0.32957,0.63297,North America and ANZ
1.31826,7.406,6,2015,Finland,0.88911,0.23351,1.29025,0.41372,0.64169,Western Europe
1.28017,7.378,7,2015,Netherlands,0.89284,0.4761,1.32944,0.31814,0.61576,Western Europe
1.28907,7.364,8,2015,Sweden,0.91087,0.36262,1.33171,0.43844,0.6598,Western Europe
1.31967,7.286,9,2015,New Zealand,0.90837,0.47501,1.25018,0.42922,0.63938,North America and ANZ
1.30923,7.284,10,2015,Australia,0.93156,0.43562,1.33358,0.35637,0.65124,North America and ANZ
1.22393,7.278,11,2015,Israel,0.91387,0.33172,1.22857,0.07785,0.41319,Middle East and North Africa
1.23788,7.226,12,2015,Costa Rica,0.86027,0.25497,0.95578,0.10583,0.63376,Latin America and the Caribbean
1.29704,7.2,13,2015,Austria,0.89042,0.33088,1.33723,0.18676,0.62433,Western Europe
0.91451,7.187,14,2015,Mexico,0.81444,0.14074,1.02054,0.21312,0.48181,Latin America and the Caribbean
1.24711,7.119,15,2015,United States,0.86179,0.40105,1.39451,0.1589,0.54604,North America and ANZ
1.23287,6.983,16,2015,Brazil,0.69702,0.14574,0.98124,0.17521,0.49049,Latin America and the Caribbean
1.21963,6.946,17,2015,Luxembourg,0.91894,0.28034,1.56391,0.37798,0.61583,Western Europe
1.36948,6.94,18,2015,Ireland,0.89533,0.45901,1.33596,0.28703,0.61777,Western Europe
1.28566,6.937,19,2015,Belgium,0.89667,0.2225,1.30782,0.2254,0.5845,Western Europe
1.12575,6.901,20,2015,United Arab Emirates,0.80925,0.26428,1.42727,0.38583,0.64157,Middle East and North Africa
1.28548,6.867,21,2015,United Kingdom,0.90943,0.51912,1.26637,0.32067,0.59625,Western Europe
1.08182,6.853,22,2015,Oman,0.76276,0.21542,1.36011,0.32524,0.63274,Middle East and North Africa
1.25596,6.81,23,2015,Venezuela,0.72052,0.05841,1.04424,0.11069,0.42908,Latin America and the Caribbean
